Unnamed: 0,st_id,st_name,st_genre1,st_genre2,st_genre3,st_genre4,popularity,followers,related_found,artist_group,index_community
2450,0RUXDJn5zktEK80it4Mkb4,Hòa Hiệp,,,,,0.0,9.0,0.0,,10
2451,1IM5awuKkgeI1KqHb3YS8e,Minh Béo,,,,,0.0,6.0,0.0,,10
2453,7zWCKZyToqj8KPbPLlmn37,Trang Nhung,,,,,7.0,360.0,20.0,,10
2454,7c1Ex7ct0RCpaSFq5SAsSW,Tường Vi,,,,,1.0,31.0,0.0,,3
2455,5Ryvlwkg4EAcrtKNVka63L,Tommy Tran,,,,,40.0,1509.0,2.0,,0
2456,5CGYEvANR5mmYEuQwTYC93,Lân Nhã,v-pop,,,,36.0,36752.0,16.0,,3
2457,5tEDpt4KHXhWLw2I7h4mej,Tran Nhat Quang,,,,,2.0,149.0,0.0,,10
2458,2P3cjUru4H3fhSXXNxE9kA,Blackstreet,boy band,contemporary r&b,dance pop,hip hop,62.0,673968.0,9.0,,6
2459,6OiHleP2bHM18dXq4aZQWt,The Coral,britpop,modern rock,pop rock,rock,53.0,230319.0,4.0,,7
2460,6l40OFJhuTbHQ9V12evc9K,Gerry Mulligan,bebop,cool jazz,jazz,jazz saxophone,49.0,87197.0,12.0,,5
2461,7BFr36uI1dzJyo6tpa5Ued,The Chi-Lites,chicago soul,classic soul,disco,funk,46.0,487447.0,14.0,,4
2462,3Ukr3Ufjg8ygRJv7Ww887f,Screaming Trees,alternative metal,alternative rock,grunge,rock,47.0,274785.0,3.0,,4
2463,0543y7yrvny4KymoaneT4W,Peter Frampton,album rock,art rock,blues rock,british blues,58.0,1053000.0,5.0,,4
2464,3DtSOCXYU6o4EV0K1NgIKq,Art Tatum,bebop,big band,jazz,jazz piano,46.0,137454.0,10.0,,5
2465,5keeQyPKYRxUCKDMECTXG3,Black Uhuru,dub,reggae,roots reggae,,45.0,321535.0,4.0,,40
2466,1N16Nwp5OmkqLkcvuAuxqp,MC haNsAi,k-rap,,,,8.0,232.0,6.0,,1
2467,6pWfZsh4oMfM4lRITDxtfw,NIA,latin viral pop,,,,44.0,42427.0,6.0,,6
2468,6OXILsPD4WNJ7XiGMAkCWa,Bad Boys Blue,eurodance,europop,italian disco,new italo disco,51.0,254641.0,14.0,,4
2469,0vFhFQ13fraUmGAMjqBWVp,Tôn Thất Sơn,vietnamese singer-songwriter,,,,1.0,96.0,18.0,,10
2470,0Grjlu7ncIuCaSYvCs9fcd,New Radicals,pop rock,,,,58.0,198033.0,7.0,,6
2471,2evydP72Z45DouM4uMGsIE,Ash,britpop,pop rock,rock,,45.0,153139.0,5.0,,7
2472,7J2lZBANizgPNfUzux31PV,David Gray,neo mellow,permanent wave,pop rock,,61.0,556408.0,9.0,,7
2473,2ledyuziz6YjLK5Dw483Oc,DJ Paul,bounce,crunk,gangster rap,memphis hip hop,61.0,89470.0,11.0,,2
2474,7xRXorlQEHpYPzQdgta0en,Ngọc Hương,,,,,4.0,179.0,7.0,,10
2475,11IDbGGSreNYkZ400hVi5Z,Đức Long,,,,,2.0,43.0,17.0,,10
2476,4M5nCE77Qaxayuhp3fVn4V,Iron & Wine,chamber pop,indie folk,stomp and holler,,62.0,1026439.0,8.0,,7
2477,602DnpaSXJB4b9DZrvxbDc,Peggy Lee,adult standards,lounge,soul,swing,57.0,375242.0,18.0,,5
2478,0a63dfrxBQKqh160P8iUNL,Country Joe & The Fish,acid rock,blues rock,classic garage rock,classic rock,43.0,145025.0,5.0,,4
2479,5fsDcuclIe8ZiBD5P787K1,Stevie Ray Vaughan,album rock,blues,blues rock,classic rock,61.0,2171269.0,11.0,,4
2480,3TBfn8PtXr42OrTPaoC3E8,The Futureheads,alternative dance,dance-punk,indie rock,new rave,44.0,91173.0,2.0,,7
2481,73sSFVlM6pkweLXE8qw1OS,Ricky Nelson,adult standards,brill building pop,bubblegum pop,lounge,57.0,385236.0,18.0,,5
2482,4YyCvok4y7KiJCYaJrX5vD,Bobby Fuller,deep classic garage rock,,,,7.0,1867.0,8.0,,5
2483,0DYWCXTkNqGFZIf67SrWEa,Fats Waller,adult standards,dixieland,harlem renaissance,jazz,45.0,112613.0,9.0,,5
2484,2bzIk7Mmd9iYM1MzJbDqUm,Mai Fin,,,,,4.0,120.0,19.0,Pop sến loại 2,3
2485,05pAwLhsutiuj6gerEwGvU,Lefty Frizzell,arkansas country,country rock,honky tonk,traditional country,41.0,92054.0,13.0,,19
2486,5sAg1HZePcFfhrs0G8A8OP,Ray Price,honky tonk,nashville sound,traditional country,,44.0,125160.0,15.0,,19
2487,3f5fB1YUbkUnW7cf7I0R48,Geto Boys,conscious hip hop,dirty south rap,g funk,gangster rap,55.0,676330.0,12.0,,15
2488,05E3NBxNMdnrPtxF9oraJm,Lester Young,bebop,big band,hard bop,jazz,49.0,125264.0,16.0,,5
2489,4QmkLL9JOqM9dusHS1Hghe,The Searchers,adult standards,brill building pop,british invasion,bubblegum pop,46.0,165568.0,6.0,,5
2490,1tpXaFf2F55E7kVJON4j4G,Black Rebel Motorcycle Club,alternative rock,garage rock,garage rock revival,indie rock,54.0,507234.0,9.0,,7
2491,4wLAjfeqAsV66AocWNcowA,Buju Banton,dancehall,lovers rock,modern reggae,reggae,58.0,501160.0,9.0,,40
2492,2nKTPyhwBVQVvQa4XXwXK5,Ha My,,,,,0.0,60.0,13.0,,3
2493,3zFaWPA8Jobgf5egh38KD2,Kool Keith,abstract hip hop,alternative hip hop,bronx hip hop,east coast hip hop,44.0,73490.0,8.0,,2
2494,5aj3LEYRbuaabjjHkj5oE1,Death In Vegas,big beat,chamber psych,electronica,techno,43.0,125893.0,6.0,,9
2495,3cdvlbCYf4WoBdy89RWkNS,Iron Butterfly,acid rock,art rock,blues rock,classic rock,44.0,341201.0,6.0,,4
2496,5cbutZUQE7SUCA6MsEMbBv,Hank Mobley,bebop,hard bop,jazz,jazz saxophone,48.0,76337.0,11.0,,5
2497,1RP2UpEaRzkF0Id3JigqD8,Roger Miller,country rock,nashville sound,oklahoma country,,55.0,223722.0,18.0,,19
