st_id,duplicates,st_name,st_genre1,st_genre2,st_genre3,st_genre4,popularity,followers,related_found,degree,in_degree,out_degree,level_popularity,community,artist_group,group,count
6DetogFDfNsSYy4u5OYz7o,1.0,Wilcox,korean r&b,,,,38.0,5173.0,3.0,31,28,3,16.0,2,,,20.0
5knV4qcUt2qmTmJYy7jGem,1.0,Ngọc Kayla,,,,,0.0,30.0,0.0,68,27,41,8.0,1,Pop sến loại 2,0.0,26236.0
7G7KvDCLdVG0Ok511Iqc9U,1.0,Disco Fries,deep tropical house,edm,electro house,pop dance,50.0,29202.0,9.0,28,19,9,24.0,0,,,4.0
1flYnVP7znbiEcL0ELwwTt,1.0,JETFIRE,belgian edm,covertronica,electro house,sky room,46.0,57348.0,13.0,34,19,15,24.0,0,,,61.0
3vIUKRHJG3VBss9SiYh5R2,2.0,Hồ Gia Hùng,,,,,5.0,566.0,0.0,112,72,40,8.0,1,,,251602.0
1kk5sHZfVLTrXa3X5OK41D,1.0,Ly Cat Ngoc,,,,,0.0,2.0,0.0,3,0,3,8.0,4,,,2285.0
2VMxEtyyo7Jg3jmVDQPHwx,1.0,Craig Cardiff,canadian indie,canadian singer-songwriter,deep new americana,indie folk,44.0,23979.0,1.0,7,6,1,24.0,12,,,10.0
3QLIkT4rD2FMusaqmkepbq,1.0,Rachel Platten,dance pop,neo mellow,pop,pop rock,62.0,848830.0,15.0,90,45,45,32.0,0,,,36195.0
1o2NpYGqHiCq7FoiYdyd1x,1.0,Bea Miller,alt z,dance pop,electropop,indie poptimism,69.0,2757521.0,15.0,53,38,15,32.0,0,,,41.0
4FffNBBwp4PayIiCBeJFPQ,1.0,Britny Fox,glam metal,hard rock,sleaze rock,,31.0,120584.0,8.0,37,29,8,16.0,3,,,1.0
17PkxBXOKX2p2ydL1RTK75,1.0,Hi Profile,progressive psytrance,psychedelic trance,,,37.0,48424.0,4.0,8,4,4,16.0,5,,,48.0
7bSyjB4y9NAhoUDrZTpYt4,1.0,Ace Ventura,progressive psytrance,psychedelic trance,,,44.0,125507.0,6.0,14,8,6,24.0,5,,,3.0
6e4aHkdDUcsaXPTQdF6Qhn,1.0,Life of Dillon,indie poptimism,uk pop,,,41.0,34933.0,10.0,15,5,10,24.0,0,,,12.0
08DIGNsHigr3JMUH0BAuIW,2.0,Novaspace,,,,,33.0,1626.0,3.0,3,0,3,16.0,0,,,22.0
